CODBARRAS;CATEGORIA;NOME PRODUTO;FAMILIA;COD SFA
789638060665;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.4;COLORAÇÃO;4525
7896380606665;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 8.4;COLORAÇÃO;4526
789638060666;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 8.4;COLORAÇÃO;4526
7896380607136;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 9.4;COLORAÇÃO;4527
7896380604937;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 8.34;COLORAÇÃO;4528
789638060493;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 8.34;COLORAÇÃO;4528
7896380604968;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 4.65;COLORAÇÃO;4529
7896380604975;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 5.62;COLORAÇÃO;4530
789638060497;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 5.62;COLORAÇÃO;4530
7896380604982;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.62;COLORAÇÃO;4531
789638060498;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.62;COLORAÇÃO;4531
7896380604999;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.66;COLORAÇÃO;4532
789638060499;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.66;COLORAÇÃO;4532
7896380605002;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.66;COLORAÇÃO;4533
7897890312350;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.66;COLORAÇÃO;4533
789638060500;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.66;COLORAÇÃO;4533
7896380605033;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.7;COLORAÇÃO;4535
789638060503;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.7;COLORAÇÃO;4535
7896380605040;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.7;COLORAÇÃO;4536
789638060504;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.7;COLORAÇÃO;4536
7896380605057;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.77;COLORAÇÃO;4537
789638060505;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.77;COLORAÇÃO;4537
7896380605064;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.77;COLORAÇÃO;4538
789638060506;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.77;COLORAÇÃO;4538
7896380605071;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 12.11;COLORAÇÃO;4540
789638060507;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 12.11;COLORAÇÃO;4540
7896380605088;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 12.89;COLORAÇÃO;4541
789638060508;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 12.89;COLORAÇÃO;4541
7896380607167;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 0.4;COLORAÇÃO;4544
7896380605101;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 0.6;COLORAÇÃO;4545
789638060510;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 0.6;COLORAÇÃO;4545
7896380603053;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 1.0;COLORAÇÃO;4600
789638060305;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 1.0;COLORAÇÃO;4600
7896380606214;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 2.0;COLORAÇÃO;4601
789638060621;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 2.0;COLORAÇÃO;4601
7896380603060;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 3.0;COLORAÇÃO;4602
789638060306;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 3.0;COLORAÇÃO;4602
7896380603077;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 4.0;COLORAÇÃO;4603
789638060307;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 4.0;COLORAÇÃO;4603
7896380603084;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 5.0;COLORAÇÃO;4604
789638060308;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 5.0;COLORAÇÃO;4604
7896380603091;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 6.0;COLORAÇÃO;4605
789638060309;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 6.0;COLORAÇÃO;4605
7896380603107;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 7.0;COLORAÇÃO;4606
789638060310;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 7.0;COLORAÇÃO;4606
7896380603114;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 8.0;COLORAÇÃO;4607
789638060311;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 8.0;COLORAÇÃO;4607
7896380603138;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 6.1;COLORAÇÃO;4608
789638060313;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 6.1;COLORAÇÃO;4608
7896380603145;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 7.1;COLORAÇÃO;4609
789638060314;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 7.1;COLORAÇÃO;4609
789638060614;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 7.1;COLORAÇÃO;4609
7896380603152;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 9.1;COLORAÇÃO;4610
789638060315;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 9.1;COLORAÇÃO;4610
7896380603220;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 6.47;COLORAÇÃO;4611
789638060322;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 6.47;COLORAÇÃO;4611
7896380603206;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 4.77;COLORAÇÃO;4612
789638060320;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 4.77;COLORAÇÃO;4612
7896380603213;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 5.7;COLORAÇÃO;4613
789638060321;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 5.7;COLORAÇÃO;4613
7896380603237;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 6.7;COLORAÇÃO;4614
789638060323;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 6.7;COLORAÇÃO;4614
7896380603251;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 7.89;COLORAÇÃO;4615
789638060325;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 7.89;COLORAÇÃO;4615
7896380603268;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 9.89;COLORAÇÃO;4616
7896380606153;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 4.54;COLORAÇÃO;4617
7896380606139;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 5.62;COLORAÇÃO;4618
789638060613;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 5.62;COLORAÇÃO;4618
7896380606122;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 6.66;COLORAÇÃO;4619
7896380607211;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 8.34;COLORAÇÃO;4622
789638060721;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 8.34;COLORAÇÃO;4622
7896380606207;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 7.44;COLORAÇÃO;4623
7896380606146;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 7.77;COLORAÇÃO;4624
7896380606184;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 8.12;COLORAÇÃO;4625
789638060618;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 8.12;COLORAÇÃO;4625
7896380606191;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 8.44;COLORAÇÃO;4626
7896380606832;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 6.26;COLORAÇÃO;4627
789638060683;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 6.26;COLORAÇÃO;4627
7896380606597;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 8.1;COLORAÇÃO;4628
789638060659;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 8.1;COLORAÇÃO;4628
7896380607204;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 12.111;COLORAÇÃO;4629
789638060720;COLORAÇÃO SEMI PERMANENTE;KERATON DEMI COLOR 12.111;COLORAÇÃO;4629
7896380605828;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 1.0;COLORAÇÃO;4700
789638060582;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 1.0;COLORAÇÃO;4700
7896380605835;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 2.0;COLORAÇÃO;4701
789638060583;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 2.0;COLORAÇÃO;4701
7896380605842;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 3.0;COLORAÇÃO;4702
789638060584;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 3.0;COLORAÇÃO;4702
7896380605859;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 4.0;COLORAÇÃO;4703
7896380615476;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 4.0;COLORAÇÃO;4703
789638060585;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 4.0;COLORAÇÃO;4703
7896380605866;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 5.0;COLORAÇÃO;4704
789638060586;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 5.0;COLORAÇÃO;4704
7896380605873;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 6.0;COLORAÇÃO;4705
789638060587;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 6.0;COLORAÇÃO;4705
7896380605880;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 7.0;COLORAÇÃO;4706
789638060588;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 7.0;COLORAÇÃO;4706
7896380605897;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 8.0;COLORAÇÃO;4707
789638060589;COLORAÇÃO PERMANENTE KIT;KERATON SELFIE 8.0;COLORAÇÃO;4707
